Teks Acak                            Bilangan Acak
5jvr6j87l2giu                          -1029246670
4d401teqtgque                            446216078
71urk05g0fjj6                          -1217959342
7b4c2m2ef3d65                           -385854266
oevivavr209f                            1262227448
22kl26d32g092                            218421538
1n9gpv4gmhe5r                          -1993244391
ahlvgu0qgr4c                            1373346316
jt96258ljq03                             700305418
57f3ueivvq546                           1483612446
