Usia      Kelompok Usia       
75        Tua                 
59        Tua                 
0         Balita              
3         Balita              
42        Dewasa              
17        Pemuda              
49        Dewasa              
72        Tua                 
35        Dewasa              
17        Pemuda              
73        Tua                 
71        Tua                 
77        Tua                 
38        Dewasa              
36        Dewasa              
26        Dewasa              
76        Tua                 
8         Kanak Kanak         
77        Tua                 
38        Dewasa              
26        Dewasa              
33        Dewasa              
79        Tua                 
20        Pemuda              
9         Kanak Kanak         
18        Pemuda              
29        Dewasa              
69        Tua                 
53        Dewasa              
76        Tua                 
66        Tua                 
60        Tua                 
45        Dewasa              
26        Dewasa              
65        Tua                 
41        Dewasa              
45        Dewasa              
22        Pemuda              
61        Tua                 
48        Dewasa              
62        Tua                 
66        Tua                 
30        Dewasa              
55        Tua                 
67        Tua                 
43        Dewasa              
76        Tua                 
30        Dewasa              
38        Dewasa              
75        Tua                 
5         Balita              
66        Tua                 
44        Dewasa              
18        Pemuda              
47        Dewasa              
32        Dewasa              
12        Remaja              
28        Dewasa              
2         Balita              
72        Tua                 
57        Tua                 
21        Pemuda              
28        Dewasa              
36        Dewasa              
65        Tua                 
31        Dewasa              
23        Pemuda              
10        Kanak Kanak         
27        Dewasa              
18        Pemuda              
31        Dewasa              
52        Dewasa              
21        Pemuda              
24        Dewasa              
53        Dewasa              
27        Dewasa              
54        Dewasa              
9         Kanak Kanak         
68        Tua                 
30        Dewasa              
41        Dewasa              
19        Pemuda              
3         Balita              
76        Tua                 
0         Balita              
45        Dewasa              
11        Kanak Kanak         
64        Tua                 
65        Tua                 
2         Balita              
24        Dewasa              
34        Dewasa              
3         Balita              
46        Dewasa              
28        Dewasa              
19        Pemuda              
66        Tua                 
53        Dewasa              
57        Tua                 
37        Dewasa              
3         Balita              
4         Balita              
59        Tua                 
74        Tua                 
59        Tua                 
22        Pemuda              
16        Remaja              
46        Dewasa              
13        Remaja              
59        Tua                 
77        Tua                 
42        Dewasa              
16        Remaja              
77        Tua                 
9         Kanak Kanak         
51        Dewasa              
32        Dewasa              
24        Dewasa              
49        Dewasa              
34        Dewasa              
52        Dewasa              
60        Tua                 
31        Dewasa              
33        Dewasa              
41        Dewasa              
64        Tua                 
15        Remaja              
73        Tua                 
20        Pemuda              
37        Dewasa              
1         Balita              
42        Dewasa              
46        Dewasa              
46        Dewasa              
44        Dewasa              
57        Tua                 
37        Dewasa              
33        Dewasa              
36        Dewasa              
8         Kanak Kanak         
2         Balita              
31        Dewasa              
40        Dewasa              
18        Pemuda              
15        Remaja              
18        Pemuda              
21        Pemuda              
77        Tua                 
34        Dewasa              
44        Dewasa              
9         Kanak Kanak         
58        Tua                 
60        Tua                 
73        Tua                 
11        Kanak Kanak         
39        Dewasa              
30        Dewasa              
1         Balita              
64        Tua                 
26        Dewasa              
23        Pemuda              
28        Dewasa              
3         Balita              
12        Remaja              
7         Kanak Kanak         
65        Tua                 
29        Dewasa              
25        Dewasa              
31        Dewasa              
52        Dewasa              
21        Pemuda              
36        Dewasa              
55        Tua                 
39        Dewasa              
35        Dewasa              
26        Dewasa              
66        Tua                 
0         Balita              
45        Dewasa              
71        Tua                 
36        Dewasa              
13        Remaja              
17        Pemuda              
30        Dewasa              
77        Tua                 
5         Balita              
40        Dewasa              
77        Tua                 
2         Balita              
40        Dewasa              
8         Kanak Kanak         
56        Tua                 
4         Balita              
78        Tua                 
79        Tua                 
48        Dewasa              
70        Tua                 
53        Dewasa              
78        Tua                 
1         Balita              
35        Dewasa              
42        Dewasa              
30        Dewasa              
25        Dewasa              
24        Dewasa              
4         Balita              
8         Kanak Kanak         
50        Dewasa              
51        Dewasa              
10        Kanak Kanak         
61        Tua                 
78        Tua                 
39        Dewasa              
43        Dewasa              
51        Dewasa              
26        Dewasa              
40        Dewasa              
37        Dewasa              
16        Remaja              
16        Remaja              
6         Kanak Kanak         
12        Remaja              
58        Tua                 
24        Dewasa              
11        Kanak Kanak         
17        Pemuda              
10        Kanak Kanak         
40        Dewasa              
44        Dewasa              
62        Tua                 
21        Pemuda              
21        Pemuda              
20        Pemuda              
1         Balita              
17        Pemuda              
71        Tua                 
62        Tua                 
19        Pemuda              
74        Tua                 
44        Dewasa              
0         Balita              
49        Dewasa              
13        Remaja              
37        Dewasa              
43        Dewasa              
51        Dewasa              
12        Remaja              
8         Kanak Kanak         
50        Dewasa              
77        Tua                 
49        Dewasa              
15        Remaja              
53        Dewasa              
3         Balita              
78        Tua                 
22        Pemuda              
38        Dewasa              
43        Dewasa              
67        Tua                 
78        Tua                 
25        Dewasa              
61        Tua                 
11        Kanak Kanak         
4         Balita              
2         Balita              
25        Dewasa              
73        Tua                 
51        Dewasa              
27        Dewasa              
0         Balita              
48        Dewasa              
19        Pemuda              
13        Remaja              
5         Balita              
60        Tua                 
36        Dewasa              
76        Tua                 
24        Dewasa              
50        Dewasa              
30        Dewasa              
61        Tua                 
78        Tua                 
79        Tua                 
28        Dewasa              
0         Balita              
20        Pemuda              
79        Tua                 
60        Tua                 
33        Dewasa              
53        Dewasa              
62        Tua                 
1         Balita              
51        Dewasa              
45        Dewasa              
64        Tua                 
53        Dewasa              
56        Tua                 
13        Remaja              
52        Dewasa              
17        Pemuda              
